out_degree,in_degree,betweenness_centrality,pagerank,attachment_count,service_count,avg_path_to_sensitive,min_path_to_sensitive,has_wildcard_action,service_wildcard_count,wildcard_entropy,dangerous_action_count,resource_count,has_wildcard_resource,specificity_score,escalation_path_count,min_escalation_path_length,max_escalation_risk,requires_mfa,has_ip_restriction,has_time_restriction,has_org_restriction,policy_id,known_risk_label,escalation_techniques_enabled,risk_label,prob_low,prob_medium,prob_high
603775,0,0.0,5.984108984314105e-05,0,434,1.0,1.0,1,336,0.1225253545002888,33,2356,0,0.8908484748170048,0,999,0.0,1,0,0,1,policy:policy,,,1,0.001431817013804336,0.9971363659723914,0.001431817013804336
2,0,0.0,5.984108984314105e-05,0,1,1.0,1.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_AddUserToGroup,,,0,0.7902460751602689,0.2088562979364402,0.0008976269032910204
2,0,0.0,5.984108984314105e-05,0,1,1.0,1.0,0,0,0.0,1,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_AttachGroupPolicy,,,1,0.001764007089376881,0.9957667407503581,0.0024692521602649523
3,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,1,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_AttachRolePolicy,,,1,0.001764007089376881,0.9957667407503581,0.0024692521602649523
2,0,0.0,5.984108984314105e-05,0,1,1.0,1.0,0,0,0.0,1,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_AttachUserPolicy,,,1,0.001764007089376881,0.9957667407503581,0.0024692521602649523
2,0,0.0,5.984108984314105e-05,0,1,2.0,999.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_CodeStar_Associate,,,0,0.8436572082910447,0.15573285214230573,0.0006099395666495726
3,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_CodeStar_Create,,,0,0.7902460751602689,0.2088562979364402,0.0008976269032910204
2,0,0.0,5.984108984314105e-05,0,1,1.0,1.0,0,0,0.0,1,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_CreateAccessKey,,,1,0.001764007089376881,0.9957667407503581,0.0024692521602649523
2,0,0.0,5.984108984314105e-05,0,1,1.0,1.0,0,0,0.0,1,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_CreateLoginProfile,,,1,0.001764007089376881,0.9957667407503581,0.0024692521602649523
2,0,0.0,5.984108984314105e-05,0,1,1.0,1.0,0,0,0.0,1,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_CreatePolicyVersion,,,1,0.001764007089376881,0.9957667407503581,0.0024692521602649523
4,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,1,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_EC2InstanceProfile,,,1,0.001764007089376881,0.9957667407503581,0.0024692521602649523
3,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_PassRole_CloudFormation,,,0,0.7902460751602689,0.2088562979364402,0.0008976269032910204
3,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_PassRole_CodeBuild,,,0,0.7902460751602689,0.2088562979364402,0.0008976269032910204
4,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_PassRole_DataPipeline,,,0,0.7902460751602689,0.2088562979364402,0.0008976269032910204
4,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_PassRole_EC2UserData,,,0,0.7902460751602689,0.2088562979364402,0.0008976269032910204
4,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_PassRole_ECS,,,0,0.7902460751602689,0.2088562979364402,0.0008976269032910204
3,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_PassRole_Glue,,,0,0.7902460751602689,0.2088562979364402,0.0008976269032910204
3,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_PassRole_LambdaCfg,,,0,0.7902460751602689,0.2088562979364402,0.0008976269032910204
4,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_PassRole_LambdaCreate,,,0,0.7902460751602689,0.2088562979364402,0.0008976269032910204
3,0,0.0,5.984108984314105e-05,0,2,1.0,1.0,0,0,0.0,0,1,0,1.0,0,999,0.0,0,0,0,0,policy:bf_PassRole_LambdaUpdate,,,0,0.7902460751602689,0.2088562979364402,0.0008976269032910204
